inc,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency
45,0.07690457818930041,20000,940000,657153.8461538461,5507000,31634000,7911877.777777778,91
46,0.07673868312757201,48000,950000,678090.9090909091,5498000,31632000,8186839.08045977,88
47,0.07669495884773662,82000,959000,685494.2528735632,5491000,31626000,8283069.76744186,87
48,0.07667052469135803,62000,968000,685275.8620689656,5481000,31616000,8283906.976744186,87
49,0.07655606995884774,36000,975000,684252.8735632184,5472000,31609000,8285558.139534884,87
50,0.07635673868312758,136000,982000,715361.4457831326,5460000,38028000,8692292.68292683,83
51,0.07638760288065843,114000,993000,715650.6024096386,5448000,38019000,8692658.536585366,83
52,0.07631044238683128,84000,1005000,714927.7108433734,5436000,38010000,8693853.658536585,83
53,0.07618569958847736,26000,1017000,713759.0361445784,5425000,38001000,8695256.097560976,83
54,0.0758449074074074,95000,1029000,719231.7073170731,174000,37995000,8806098.765432099,82
55,0.07542952674897119,61000,1040000,706674.6987951808,127000,37985000,8702878.048780488,83
56,0.07496141975308641,77000,1049000,719629.6296296297,211000,37973000,8925225.0,81
57,0.07465149176954733,36000,1060000,716654.3209876543,318000,37960000,8928487.5,81
58,0.07444830246913581,90000,1072000,732797.4683544304,382000,37964000,9159705.128205128,79
59,0.07412165637860083,21000,1093000,720462.5,73000,37952000,9047240.506329114,80
60,0.07385931069958848,54000,1115000,727000.0,143000,37963000,9166102.564102564,79
61,0.07362911522633744,96000,1138000,743558.4415584416,246000,37978000,9409947.368421054,77
62,0.07344778806584362,85000,1161000,732217.9487179487,224000,37967000,9289818.181818182,78
63,0.07319315843621399,66000,1185000,739155.8441558442,337000,44436000,9414907.894736841,77
64,0.07291666666666667,72000,1209000,746052.6315789474,381000,44428000,9543573.333333334,76
65,0.07258744855967078,69000,1234000,752586.6666666666,424000,44420000,9676297.297297297,75
66,0.07239840534979423,70000,1262000,750626.6666666666,489000,44410000,9678567.567567568,75
67,0.07254115226337449,77000,1289000,742210.5263157894,48000,44400000,9548306.666666666,76
68,0.07236111111111111,21000,1318000,750240.0,285000,44390000,9679513.513513513,75
69,0.0721656378600823,19000,1350000,748213.3333333334,451000,44388000,9681837.837837838,75
70,0.07209490740740741,136000,1382000,747480.0,214000,44373000,9682864.864864865,75
71,0.07181455761316873,192000,1414000,754635.1351351351,324000,44358000,9818767.12328767,74
72,0.07193930041152263,212000,1442000,766301.3698630137,5095000,44343000,9954069.444444444,73
73,0.07156378600823045,193000,1469000,762301.3698630137,5082000,44324000,9958416.666666666,73
74,0.07115354938271605,174000,1500000,757931.506849315,5068000,44304000,9963138.888888888,73
75,0.07075102880658436,155000,1525000,753643.8356164383,5035000,44280000,9967777.777777778,73
76,0.07116769547325102,136000,1566000,728157.8947368421,5000000,38832000,9565026.666666666,76
77,0.07072788065843622,113000,1609000,723657.8947368421,4969000,38753000,9569880.0,76
78,0.06982510288065844,92000,1652000,714421.052631579,4939000,38685000,9579506.666666666,76
79,0.0688914609053498,77000,1692000,704868.4210526316,4912000,38641000,9589466.666666666,76
80,0.06803755144032922,59000,1730000,696131.5789473684,4884000,38598000,9598613.333333334,76
81,0.06742412551440329,47000,1762000,689855.2631578947,4852000,38594000,9605266.666666666,76
82,0.06650334362139917,34000,1794000,671597.4025974026,4798000,38513000,9488578.94736842,77
83,0.06557227366255144,22000,1821000,662194.8051948051,4742000,38485000,9498368.421052631,77
84,0.06524048353909465,14000,1847000,642164.5569620254,56000,38464000,9258397.435897436,79
85,0.06416923868312757,4000,1867000,639717.9487179487,4554000,38457000,9389675.324675325,78
86,0.06382973251028806,3000,1893000,870771.9298245613,526000,38461000,12915892.857142856,57
87,0.06431455761316872,1000,1913000,1041895.8333333334,100000,38496000,15381574.468085106,48
88,0.06474022633744855,12000,1940000,1198619.0476190476,217000,38524000,17625146.341463413,42
89,0.06438528806584362,294000,1981000,1283743.5897435897,4195000,38547000,19024736.842105262,39
90,0.06374356995884774,23000,1929000,1304394.7368421052,4146000,38556000,19552324.324324325,38
91,0.06464248971193416,396000,1888000,1288871.7948717948,4061000,38564000,19017210.52631579,39
92,0.06499228395061728,3000,1842000,1148590.9090909092,86000,36868000,16798651.162790697,44
93,0.06470807613168725,6000,1796000,1006340.0,13000,37006000,14745408.163265307,50
94,0.06428112139917695,1000,1766000,781015.625,45000,42387000,11473333.333333334,64
95,0.06487397119341563,6000,1732000,600547.619047619,4073000,42445000,8702722.891566265,84
96,0.06465534979423869,7000,1683000,598523.8095238095,4101000,42503000,8702855.421686746,84
97,0.06521604938271605,23000,1634000,618439.0243902439,4104000,42559000,8452061.728395062,82
98,0.06606095679012346,18000,1597000,618903.6144578314,4122000,42592000,8340280.4878048785,83
99,0.06699845679012345,46000,1551000,627686.7469879518,4141000,42644000,8330756.097560976,83
